,Latitude,Longitude
autoweedhsc-20210627-120002.152649.jpg,-18.8056334850,146.135509897
autoweedhsc-20210627-120002.409752.jpg,-18.8056067333,146.135502088
autoweedhsc-20210627-120002.472605.jpg,-18.8056067333,146.135502088
autoweedhsc-20210627-120002.663910.jpg,-18.8055800217,146.135494237
autoweedhsc-20210627-120003.164424.jpg,-18.8054996533,146.135470680
autoweedhsc-20210627-120003.384328.jpg,-18.8054727533,146.135462830
autoweedhsc-20210627-120003.975636.jpg,-18.8053915717,146.135439377
autoweedhsc-20210627-120004.094460.jpg,-18.8053915717,146.135439377
autoweedhsc-20210627-120004.417604.jpg,-18.8053371917,146.135423540
autoweedhsc-20210627-120004.735046.jpg,-18.8053099367,146.135415603
autoweedhsc-20210627-120005.324823.jpg,-18.8052276317,146.135391687
autoweedhsc-20210627-120005.842021.jpg,-18.8051447717,146.135367615
autoweedhsc-20210627-120006.323837.jpg,-18.8050895000,146.135351520
autoweedhsc-20210627-120006.584996.jpg,-18.8050340500,146.135335292
autoweedhsc-20210627-120007.500617.jpg,-18.8049235650,146.135303070
autoweedhsc-20210627-120007.603368.jpg,-18.8048960917,146.135295108
autoweedhsc-20210627-120007.913217.jpg,-18.8048687033,146.135287057
autoweedhsc-20210627-120008.018706.jpg,-18.8048413217,146.135279185
autoweedhsc-20210627-120008.121414.jpg,-18.8048413217,146.135279185
autoweedhsc-20210627-120008.172811.jpg,-18.8048139467,146.135271257
autoweedhsc-20210627-120008.224261.jpg,-18.8048139467,146.135271257
autoweedhsc-20210627-120008.381617.jpg,-18.8047865133,146.135263360
autoweedhsc-20210627-120008.897971.jpg,-18.8047318650,146.135247562
autoweedhsc-20210627-120009.405863.jpg,-18.8046499283,146.135223987
autoweedhsc-20210627-120009.980802.jpg,-18.8045679633,146.135200417
autoweedhsc-20210627-120010.031436.jpg,-18.8045679633,146.135200417
autoweedhsc-20210627-120010.539221.jpg,-18.8045132500,146.135184583
autoweedhsc-20210627-120015.573587.jpg,-18.8037828850,146.134973603
autoweedhsc-20210627-120015.679803.jpg,-18.8037828850,146.134973603
autoweedhsc-20210627-120015.734948.jpg,-18.8037828850,146.134973603
autoweedhsc-20210627-120015.791459.jpg,-18.8037543900,146.134965362
autoweedhsc-20210627-120015.899350.jpg,-18.8037543900,146.134965362
autoweedhsc-20210627-120015.956614.jpg,-18.8037258467,146.134957095
autoweedhsc-20210627-120016.010744.jpg,-18.8037258467,146.134957095
autoweedhsc-20210627-120016.067403.jpg,-18.8037258467,146.134957095
autoweedhsc-20210627-120016.124954.jpg,-18.8037258467,146.134957095
autoweedhsc-20210627-120016.178237.jpg,-18.8036972800,146.134948692
autoweedhsc-20210627-120016.233213.jpg,-18.8036972800,146.134948692
autoweedhsc-20210627-120016.287671.jpg,-18.8036972800,146.134948692
autoweedhsc-20210627-120016.339835.jpg,-18.8036972800,146.134948692
autoweedhsc-20210627-120016.400913.jpg,-18.8036687117,146.134940475
autoweedhsc-20210627-120016.458375.jpg,-18.8036687117,146.134940475
autoweedhsc-20210627-120016.567925.jpg,-18.8036401133,146.134932147
autoweedhsc-20210627-120016.625945.jpg,-18.8036401133,146.134932147
autoweedhsc-20210627-120016.679943.jpg,-18.8036401133,146.134932147
autoweedhsc-20210627-120016.733319.jpg,-18.8036401133,146.134932147
autoweedhsc-20210627-120016.789934.jpg,-18.8036116883,146.134923857
autoweedhsc-20210627-120016.843811.jpg,-18.8036116883,146.134923857
autoweedhsc-20210627-120016.901106.jpg,-18.8036116883,146.134923857
autoweedhsc-20210627-120016.955744.jpg,-18.8035830817,146.134915572
autoweedhsc-20210627-120017.010377.jpg,-18.8035830817,146.134915572
autoweedhsc-20210627-120017.066489.jpg,-18.8035830817,146.134915572
autoweedhsc-20210627-120017.122128.jpg,-18.8035830817,146.134915572
autoweedhsc-20210627-120017.181375.jpg,-18.8035546200,146.134907190
autoweedhsc-20210627-120017.238940.jpg,-18.8035546200,146.134907190
autoweedhsc-20210627-120017.295233.jpg,-18.8035546200,146.134907190
autoweedhsc-20210627-120017.352734.jpg,-18.8035260417,146.134898947
autoweedhsc-20210627-120017.407665.jpg,-18.8035260417,146.134898947
autoweedhsc-20210627-120017.466857.jpg,-18.8035260417,146.134898947
autoweedhsc-20210627-120017.522040.jpg,-18.8035260417,146.134898947
autoweedhsc-20210627-120017.574103.jpg,-18.8034976067,146.134890670
autoweedhsc-20210627-120017.627461.jpg,-18.8034976067,146.134890670
autoweedhsc-20210627-120017.680302.jpg,-18.8034976067,146.134890670
autoweedhsc-20210627-120017.731773.jpg,-18.8034976067,146.134890670
autoweedhsc-20210627-120017.785261.jpg,-18.8034691817,146.134882427
autoweedhsc-20210627-120017.838931.jpg,-18.8034691817,146.134882427
autoweedhsc-20210627-120017.891911.jpg,-18.8034691817,146.134882427
autoweedhsc-20210627-120018.000406.jpg,-18.8034408483,146.134874263
autoweedhsc-20210627-120018.052755.jpg,-18.8034408483,146.134874263
autoweedhsc-20210627-120018.104411.jpg,-18.8034408483,146.134874263
autoweedhsc-20210627-120018.156761.jpg,-18.8034126350,146.134866198
autoweedhsc-20210627-120018.214950.jpg,-18.8034126350,146.134866198
autoweedhsc-20210627-120018.267090.jpg,-18.8034126350,146.134866198
autoweedhsc-20210627-120018.320196.jpg,-18.8034126350,146.134866198
autoweedhsc-20210627-120018.373191.jpg,-18.8033844600,146.134858012
autoweedhsc-20210627-120018.426005.jpg,-18.8033844600,146.134858012
autoweedhsc-20210627-120018.478304.jpg,-18.8033844600,146.134858012
autoweedhsc-20210627-120018.534700.jpg,-18.8033844600,146.134858012
autoweedhsc-20210627-120018.589456.jpg,-18.8033564400,146.134849808
autoweedhsc-20210627-120018.642629.jpg,-18.8033564400,146.134849808
autoweedhsc-20210627-120018.699577.jpg,-18.8033564400,146.134849808
autoweedhsc-20210627-120018.753068.jpg,-18.8033564400,146.134849808
autoweedhsc-20210627-120018.808507.jpg,-18.8033285117,146.134841555
autoweedhsc-20210627-120018.863694.jpg,-18.8033285117,146.134841555
autoweedhsc-20210627-120018.917254.jpg,-18.8033285117,146.134841555
autoweedhsc-20210627-120018.970731.jpg,-18.8033006217,146.134833263
autoweedhsc-20210627-120019.026393.jpg,-18.8033006217,146.134833263
autoweedhsc-20210627-120019.080103.jpg,-18.8033006217,146.134833263
autoweedhsc-20210627-120019.132730.jpg,-18.8033006217,146.134833263
autoweedhsc-20210627-120019.186622.jpg,-18.8032728717,146.134824967
autoweedhsc-20210627-120019.238608.jpg,-18.8032728717,146.134824967
autoweedhsc-20210627-120019.292792.jpg,-18.8032728717,146.134824967
autoweedhsc-20210627-120019.344563.jpg,-18.8032728717,146.134824967
autoweedhsc-20210627-120019.399414.jpg,-18.8032451900,146.134816525
autoweedhsc-20210627-120019.452655.jpg,-18.8032451900,146.134816525
autoweedhsc-20210627-120019.505369.jpg,-18.8032451900,146.134816525
autoweedhsc-20210627-120019.558245.jpg,-18.8032177183,146.134808022
autoweedhsc-20210627-120019.612082.jpg,-18.8032177183,146.134808022
autoweedhsc-20210627-120019.670373.jpg,-18.8032177183,146.134808022
autoweedhsc-20210627-120019.725317.jpg,-18.8032177183,146.134808022
autoweedhsc-20210627-120019.778006.jpg,-18.8031902233,146.134799453
autoweedhsc-20210627-120019.836250.jpg,-18.8031902233,146.134799453
autoweedhsc-20210627-120019.892001.jpg,-18.8031902233,146.134799453
autoweedhsc-20210627-120019.946372.jpg,-18.8031902233,146.134799453
autoweedhsc-20210627-120020.003350.jpg,-18.8031630117,146.134790763
autoweedhsc-20210627-120020.059379.jpg,-18.8031630117,146.134790763
autoweedhsc-20210627-120020.113123.jpg,-18.8031630117,146.134790763
autoweedhsc-20210627-120020.166466.jpg,-18.8031358117,146.134781990
autoweedhsc-20210627-120020.226718.jpg,-18.8031358117,146.134781990
autoweedhsc-20210627-120020.282750.jpg,-18.8031358117,146.134781990
autoweedhsc-20210627-120020.335303.jpg,-18.8031358117,146.134781990
autoweedhsc-20210627-120020.388795.jpg,-18.8031088083,146.134773163
autoweedhsc-20210627-120020.441768.jpg,-18.8031088083,146.134773163
